rothepfuhl,52.406586598842914,13.509210415855684,pond,0.1078,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
klosterteich,52.41493680827585,13.358625067863766,pond,0.0711,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
buschgraben,52.408173066616285,13.248399172628217,pond,0.5573,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
hohenschonhausener see,52.561223583191264,13.531159568217475,pond,0.8641,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
lichtenrader dorfteich,52.39060339123924,13.41041405131563,pond,0.8957,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
venusbassin,52.51457617740228,13.37062923227082,pond,0.3145,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sinkende mauer,52.529303682953646,13.376338912406586,pond,0.2284,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
fischtalteich,52.444263392665334,13.257197895346454,pond,0.2107,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
lankegrabenteich,52.436673050672674,13.357876023446874,pond,0.0717,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
triestparkteich,52.44925908964424,13.2873699665759,pond,0.1057,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kleiner stadtparkteich,52.449187989746335,13.33485739600184,pond,0.0646,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
grimnitz,52.374292861643845,13.646231906272234,lake,9.521,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
wiesenbecken,52.53036084165197,13.160728000696093,lake,359.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
