id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
1329644964,Sprint,Sprint,Sprint-Tank GmbH,,52.53378376847157,13.445083164827789,Pankow,11003003,Prenzlauer Berg,0301,,,yes,yes,yes,yes,POINT (13.445083 52.533784)
1331899277,TotalEnergies,Total,,,52.38793143194509,13.630407610153679,Treptow-Köpenick,11009009,Schmöckwitz,0915,24/7,,yes,,yes,yes,POINT (13.630408 52.387931)
425089052,unknown gas station,,RWE-Effizienz,,52.513693,13.3227032,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.322703 52.513693)
429740871,Innogy,e.on drive,E.ON,,52.5236617,13.3808678,Mitte,11001001,Mitte,0101,24/7,,,,,,POINT (13.380868 52.523662)
429951629,RWE Stromtankstelle E-Mobillity,Innogy,Innogy,,52.4993965,13.3289688,Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,0402,,,,,,,POINT (13.328969 52.499396)
520518082,Vattenfall InCharge Ladesäule,,Vattenfall,,52.5028106,13.3254003,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.3254 52.502811)
610981736,Stromtankstelle,,RWE-Effizienz,,52.5358323,13.2737032,Spandau,11005005,Siemensstadt,0503,,,,,,,POINT (13.273703 52.535832)
645567402,unknown gas station,,Qwello,,52.5468267,13.4465366,Pankow,11003003,Prenzlauer Berg,0301,24/7,,,,,,POINT (13.446537 52.546827)
667211393,unknown gas station,,RWE-Effizienz,,52.5164617,13.2613337,Charlottenburg-Wilmersdorf,11004004,Westend,0405,,,,,,,POINT (13.261334 52.516462)
694566615,unknown gas station,,RWE-Effizienz,,52.5009144,13.3168897,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,24/7,,,,,,POINT (13.31689 52.500914)
704002935,Ladesäule für Elektroautos,,RWE-Effizienz,,52.4909423,13.3304746,Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,0402,,,,,,,POINT (13.330475 52.490942)
718678233,Innogy,Innogy,Innogy,,52.5085609,13.2727125,Charlottenburg-Wilmersdorf,11004004,Westend,0405,,,,,,,POINT (13.272712 52.508561)
769334936,Innogy,Innogy,Innogy,,52.5104425,13.408923,Mitte,11001001,Mitte,0101,24/7,,,,,,POINT (13.408923 52.510442)
822840995,unknown gas station,,RWE-Effizienz,,52.5068111,13.3062754,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.306275 52.506811)
