,detail_url,name,type,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,first_tenant,address,latitude,longitude,geometry,neighborhood_id,neighborhood,district,district_id,id
21,https://www.immowelt.de/expose/8ab0347e-7b78-422f-ab0d-ad7a273c725f,"Wohnung zur Miete - Erstbezug 1.980 € 3 Zimmer 87,7 m² 1. Geschoss frei ab 01.03.2026 Archenholdstrasse 21 Friedrichsfelde Berlin 10315",Wohnung,1980.0,3.0,87.7,1,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10018
22,https://www.immowelt.de/expose/31e16e72-7fab-4381-837f-3184552318e2,"Wohnung zur Miete - Erstbezug 1.980 € 3 Zimmer 87,8 m² 1. Geschoss frei ab 01.03.2026 Archenholdstrasse 19 Friedrichsfelde Berlin 10315",Wohnung,1980.0,3.0,87.8,1,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10019
24,https://www.immowelt.de/expose/1d3ece94-51bf-4924-8ebf-01a0652809ae,"Wohnung zur Miete - Erstbezug 1.450 € 2 Zimmer 55,7 m² 2. Geschoss frei ab 01.03.2026 Archenholdstrasse 21 Friedrichsfelde Berlin 10315",Wohnung,1450.0,2.0,55.7,2,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10020
25,https://www.immowelt.de/expose/0a289ffb-907e-40e4-86ec-2e7dcdb4b33a,Studio zur Miete 525 € 1 Zimmer 11 m² 2. Geschoss frei ab 01.03.2026 Ostendstraße Oberschöneweide Berlin 12459,Studio,525.0,1.0,11.0,2,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10021
26,https://www.immowelt.de/expose/127992a2-0e1c-4d20-9625-7f8578a0b2dc,"Studio zur Miete 875 € 1 Zimmer 30,1 m² 1. Geschoss Friedenauer Höhe 12 Friedenau Berlin 12159",Studio,875.0,1.0,30.1,1,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10022
27,https://www.immowelt.de/expose/f9571508-1acd-4ab1-b7ed-2e4594c19c41,Wohnung zur Miete 550 € 1 Zimmer 24 m² 2. Geschoss Johannisthaler Chaussee 433 Gropiusstadt Berlin 12351,Wohnung,550.0,1.0,24.0,2,,,12351,no,", 12351 Gropiusstadt Berlin",52.433178,13.4621389,POINT (13.4621389 52.433178),0805,Gropiusstadt,Neukölln,11008008,20260206_10023
28,https://www.immowelt.de/expose/0240db08-6fa4-49a8-a5c2-f3184786d932,"Studio zur Miete 1.426 € 2 Zimmer 57,9 m² 2. Geschoss frei ab 01.04.2026 Hedwig-Porschütz-Straße Mitte Berlin 10557",Studio,1426.0,2.0,57.9,2,,,10557,no,", 10557 Mitte Berlin",52.5256483,13.3640508,POINT (13.3640508 52.5256483),0102,Moabit,Mitte,11001001,20260206_10024
33,https://www.immowelt.de/expose/d47ae40f-ff9e-4b6c-be1a-8939e1f065ea,"Studio zur Miete 516 € 1 Zimmer 18,5 m² 1. Geschoss frei ab 06.02.2026 Rathenaustraße Oberschöneweide Berlin 12459",Studio,516.0,1.0,18.5,1,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10025
34,https://www.immowelt.de/expose/7a4aec64-ab72-46f2-a260-daa328753443,"Wohnung zur Miete 1.429 € 2 Zimmer 66,5 m² 3. Geschoss Friedenauer Höhe 10 Friedenau Berlin 12159",Wohnung,1429.0,2.0,66.5,3,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10026
35,https://www.immowelt.de/expose/7e269628-a21a-42a7-aa27-04348e14f317,"Wohnung zur Miete 2.249 € 3 Zimmer 85,8 m² 7. Geschoss Friedenauer Höhe 24 Friedenau Berlin 12159",Wohnung,2249.0,3.0,85.8,7,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10027
