id,name,bakery_type,is_chain,brand_name,address,street,house_number,postal_code,phone,amenities,accessibility,opening_hours,sunday_opening,website,latitude,longitude,district,neighborhood,district_id,neighborhood_id,data_source
1305276029,Croissanterie,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 308, dtype: object Berlin",,,,,outdoor_seating,Partial Access,"Mo-Fr 07:00-15:00; Sa,Su,PH 08:00-16:00",True,,52.487063799999994,13.430953300000002,Neukölln,Neukölln,11008008,0801,OSM
1305276037,Öz Gaziantep,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 309, dtype: object Berlin",,,,,Standard Bakery,Not Specified,,,,52.48657029999998,13.428399800000001,Neukölln,Neukölln,11008008,0801,OSM
1305276042,Unknown Bakery,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 310, dtype: object Berlin",,,,,Standard Bakery,Not Specified,,,,52.48698219999999,13.4282452,Neukölln,Neukölln,11008008,0801,OSM
1305834119,Backcafé,chain,True,Ömer Bulut,"Wegenerstraße 19, postal_code    10713
postal_code      NaN
Name: 311, dtype: object Berlin",Wegenerstraße,19,10713,,outdoor_seating,Not Specified,"Mo-Fr 03:00-18:30; Sa,Su 06:00-14:00",True,https://www.lieferback.de,52.489286299999996,13.3190128,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004,0402,OSM
1306177290,Konditorei Aljazeera,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 312, dtype: object Berlin",,,,,Standard Bakery,Partial Access,Mo-Su 10:00-22:00,True,,52.48728009999999,13.4274523,Neukölln,Neukölln,11008008,0801,OSM
1306437820,Rauch,artisanal,False,,"Sandinostraße 14, postal_code    13055
postal_code      NaN
Name: 313, dtype: object Berlin",Sandinostraße,14,13055,,Standard Bakery,Partial Access,Mo-Fr 06:00-17:00; Sa 06:00-11:30; Su off,False,https://www.baeckerei-rauch.de/,52.5369253,13.4847063,Lichtenberg,Alt-Hohenschönhausen,11011011,1110,OSM
1307115321,Konditorei Al-Iman,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 314, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,,,,52.46990809999999,13.4313379,Neukölln,Neukölln,11008008,0801,OSM
1309210149,Knusperbäcker,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 315, dtype: object Berlin",,,,,outdoor_seating,Partial Access,Mo-Fr 05:00-19:00; Sa 05:00-19:00; Su 05:00-16:00,True,https://www.knusperbaecker.com/,52.535387500000006,13.199321,Spandau,Spandau,11005005,0501,OSM
1312437470,Bäckerei C. Müller,chain,True,Christian Müller,"Mädewalder Weg 48, postal_code    12621
postal_code      NaN
Name: 316, dtype: object Berlin",Mädewalder Weg,48,12621,,Standard Bakery,Fully Accessible,Mo-Fr 06:30-18:00; Sa 06:30-12:30; PH off,,,52.5092382,13.5879312,Marzahn-Hellersdorf,Kaulsdorf,11010010,1003,OSM
1312826395,BackHausLiberda,artisanal,False,,"Fürbringerstraße 30, postal_code    10961
postal_code      NaN
Name: 317, dtype: object Berlin",Fürbringerstraße,30,10961,,Standard Bakery,Not Specified,"Mo-Fr 06:00-18:00; Sa 07:00-17:00; Su,PH 08:00-15:00",True,http://www.backhausliberda.de/,52.493342999999996,13.395115300000002,Friedrichshain-Kreuzberg,Kreuzberg,11002002,0202,OSM
