addr_city,addr_housenumber,addr_postcode,addr_street,capacity_raw,coord_raw,entity_type,lat,lon,name,name_key,operator,owner,phone,source,street,street_norm,website,wikidata_id
Berlin,29 / 35,14089,Alt-Gatow / ,,Point(13.18240271 52.48671533),cinema,52.48671533,13.18240271,Filmtheater Gatow,filmtheater-gatow,,,,wikidata,"Alt-Gatow 29/35, 14089 Berlin","Alt-Gatow 29/35, 14089 Berlin",,Q47078232
Berlin,39,13585,Neuendorfer Straße,,Point(13.2103894 52.5492418),cinema,52.5492418,13.2103894,Filmpalast Schützenhaus,filmpalast-sch-tzenhaus,,,,wikidata,"Neuendorfer Straße 39 (38–42), 13585 Berlin","Neuendorfer Straße 39 , 13585 Berlin",,Q47078283
Berlin,21,13587,Wichernstraße 14-,,Point(13.20641073 52.56760043),cinema,52.56760043,13.20641073,Filmstudio Wichern,filmstudio-wichern,,,,wikidata,"Wichernstraße 14–21, 13587 Berlin","Wichernstraße 14-21, 13587 Berlin",,Q47078305
Berlin,43,13585,Neuendorfer Straße,,Point(13.20618554 52.5430535),cinema,52.5430535,13.20618554,HaKi-Filmtheater,haki-filmtheater,,,,wikidata,"Neuendorfer Straße 43, 13585 Berlin","Neuendorfer Straße 43, 13585 Berlin",,Q47078348
Berlin,10,13587,Streitstraße,,Point(13.20807056 52.55740614),cinema,52.55740614,13.20807056,HaLi-Lichtspiele,hali-lichtspiele,,,,wikidata,"Streitstraße 10, 13587 Berlin","Streitstraße 10, 13587 Berlin",,Q47078379
Berlin,16,13587,Walldürner Weg,,Point(13.20431566 52.56392038),cinema,52.56392038,13.20431566,Tivoli-Lichtspiele,tivoli-lichtspiele,,,,wikidata,"Walldürner Weg 16, 13587 Berlin","Walldürner Weg 16, 13587 Berlin",,Q47078410
Berlin,27,13599,Haselhorster Damm,,Point(13.23793376 52.54479424),cinema,52.54479424,13.23793376,Rex-Filmtheater,rex-filmtheater,,,,wikidata,"Haselhorster Damm 27, 13599 Berlin","Haselhorster Damm 27, 13599 Berlin",,Q47078443
Berlin,182,14089,Kladower Damm,,Point(13.16074053 52.46668738),cinema,52.46668738,13.16074053,Astra Cinema Gatow,astra-cinema-gatow,,,,wikidata,"Kladower Damm 182, 14089 Berlin","Kladower Damm 182, 14089 Berlin",,Q47078509
Berlin,107,13599,Motardstraße,,Point(13.25099861 52.53497066),cinema,52.53497066,13.25099861,Autokino Berlin,autokino-berlin,,,,wikidata,"Motardstraße 107, 13599 Berlin","Motardstraße 107, 13599 Berlin",,Q47078715
Berlin,82,13629,Nonnendammallee,,Point(13.26687931 52.53649026),cinema,52.53649026,13.26687931,Elektra-Lichtspiele,elektra-lichtspiele,,,,wikidata,"Nonnendammallee 82, 13629 Berlin","Nonnendammallee 82, 13629 Berlin",,Q47078756
Berlin,96,13629,Nonnendammallee,,Point(13.26798 52.53701),cinema,52.53701,13.26798,Kammerlichtspiele,kammerlichtspiele,,,,wikidata,"Nonnendammallee 96, 13629 Berlin","Nonnendammallee 96, 13629 Berlin",,Q47078785
Berlin,4,13629,Jugendweg,,Point(13.2662201 52.5376366),cinema,52.5376366,13.2662201,Lichtspiel-Palast,lichtspiel-palast,,,,wikidata,"Jugendweg 4, 13629 Berlin","Jugendweg 4, 13629 Berlin",,Q47078832
Berlin,2,13629,Jungfernheideweg,,Point(13.27235907 52.53714326),cinema,52.53714326,13.27235907,Siesta,siesta,,,,wikidata,"Jungfernheideweg 2, 13629 Berlin","Jungfernheideweg 2, 13629 Berlin",,Q47078865
Berlin,11,13597,Gewerbehof,,Point(13.21497469 52.52890886),cinema,52.52890886,13.21497469,Autokino Gewerbehof,autokino-gewerbehof,,,,wikidata,"Gewerbehof 11, 13597 Berlin","Gewerbehof 11, 13597 Berlin",,Q47079038
Berlin,,13597,Augusta-Ufer,,Point(13.20071395 52.53764892),cinema,52.53764892,13.20071395,Bio-Filmtheater,bio-filmtheater,,,,wikidata,"Augusta-Ufer (17/18), 13597 Berlin","Augusta-Ufer , 13597 Berlin",,Q47079108
Berlin,6,13581,Klosterstraße,,Point(13.1974288 52.5323198),cinema,52.5323198,13.1974288,Biophon-Theater,biophon-theater,,,,wikidata,"Klosterstraße 6, 13581 Berlin","Klosterstraße 6, 13581 Berlin",,Q47079120
Berlin,20,13597,Havelstraße,,Point(13.206239 52.5384784),cinema,52.5384784,13.206239,Cineplex Spandau,cineplex-spandau,Cineplex Deutschland,,,wikidata,"Havelstraße 20, 13597 Berlin","Havelstraße 20, 13597 Berlin",https://www.cineplex.de/berlin-spandau/,Q47079139
Berlin,49,13597,Carl-Schurz-Straße,,Point(13.2046345 52.5380832),cinema,52.5380832,13.2046345,Forum Filmtheater,forum-filmtheater,,,,wikidata,"Carl-Schurz-Straße 49, 13597 Berlin","Carl-Schurz-Straße 49, 13597 Berlin",,Q47079212
Berlin,6,13597,Mauerstraße,,Point(13.20224676 52.53558312),cinema,52.53558312,13.20224676,Kino im Kulturhaus Spandau,kino-im-kulturhaus-spandau,,,,wikidata,"Mauerstraße 6, 13597 Berlin","Mauerstraße 6, 13597 Berlin",,Q47079217
Berlin,98 / 99,13585,Schönwalder Straße / ,,Point(13.20221292 52.54635305),cinema,52.54635305,13.20221292,Metropol-Lichtspiele,metropol-lichtspiele,,,,wikidata,"Schönwalder Straße 98/99, 13585 Berlin","Schönwalder Straße 98/99, 13585 Berlin",,Q47079223
Berlin,24,13597,Carl-Schurz-Straße,,Point(13.202785 52.525363677),cinema,52.525363677,13.202785,Odeon-Lichtspiele,odeon-lichtspiele,,,,wikidata,"Carl-Schurz-Straße 24, 13597 Berlin","Carl-Schurz-Straße 24, 13597 Berlin",,Q47079258
Berlin,13,13597,Carl-Schurz-Straße,,Point(13.2015 52.53642),cinema,52.53642,13.2015,Openair-Kino,openair-kino,,,,wikidata,"Carl-Schurz-Straße 13, 13597 Berlin","Carl-Schurz-Straße 13, 13597 Berlin",,Q47079340
Berlin,13 / 15,13581,Klosterstraße / ,,Point(13.19591957 52.53047471),cinema,52.53047471,13.19591957,Regina-Lichtspiele,regina-lichtspiele,,,,wikidata,"Klosterstraße 13/15, 13581 Berlin","Klosterstraße 13/15, 13581 Berlin",,Q47079456
Berlin,89,13583,Staakener Straße 87-,,Point(13.190281 52.5362455),cinema,52.5362455,13.190281,Savoy,savoy,,,,wikidata,"Staakener Straße 87-89, 13583 Berlin","Staakener Straße 87-89, 13583 Berlin",,Q47079464
Berlin,80,13585,Schönwalder Straße,,Point(13.2003522 52.5490683),cinema,52.5490683,13.2003522,Union-Theater,union-theater,,,,wikidata,"Schönwalder Straße 80, 13585 Berlin","Schönwalder Straße 80, 13585 Berlin",,Q47079473
Berlin,9,13597,Grunewaldstraße,,Point(13.2052671 52.5316165),cinema,52.5316165,13.2052671,Viktoria-Saal,viktoria-saal,,,,wikidata,"Grunewaldstraße 9, 13597 Berlin","Grunewaldstraße 9, 13597 Berlin",,Q47079522
Berlin,2,13585,Schönwalder Straße,,Point(13.20610166 52.54331206),cinema,52.54331206,13.20610166,Walhalla-Lichtspiele,walhalla-lichtspiele,,,,wikidata,"Schönwalder Straße 2, 13585 Berlin","Schönwalder Straße 2, 13585 Berlin",,Q47079552
Berlin,2 / 26,13591,Hackbuschstraße / Eichholzbahn 24-,,Point(13.15046009 52.53758824),cinema,52.53758824,13.15046009,Capitol,capitol,,,,wikidata,"Hackbuschstraße 2 / Eichholzbahn 24-26, 13591 Berlin","Hackbuschstraße 2 / Eichholzbahn 24-26, 13591 Berlin",,Q47079585
Berlin,67,13591,Nennhauser Damm,,Point(13.14118854 52.53117979),cinema,52.53117979,13.14118854,Lichtspiele Staaken,lichtspiele-staaken,,,,wikidata,"Nennhauser Damm 67, 13591 Berlin","Nennhauser Damm 67, 13591 Berlin",,Q47079616
Berlin,13,13591,Zeestower Weg,,Point(13.13939085 52.54607282),cinema,52.54607282,13.13939085,Filmbühne Staaken,filmb-hne-staaken,,,,wikidata,"Zeestower Weg 13, 13591 Berlin","Zeestower Weg 13, 13591 Berlin",,Q47079622
Berlin,378,13593,Heerstraße,,Point(13.171031 52.5188843),cinema,52.5188843,13.171031,Birken-Lichtspiele,birken-lichtspiele,,,,wikidata,"Heerstraße 378, 13593 Berlin","Heerstraße 378, 13593 Berlin",,Q47079653
Berlin,35,13595,Weißenburger Straße,,Point(13.2012485 52.5236143),cinema,52.5236143,13.2012485,Filmbühne Wilhelmstadt,filmb-hne-wilhelmstadt,,,,wikidata,"Weißenburger Straße 35, 13595 Berlin","Weißenburger Straße 35, 13595 Berlin",,Q47079658
Berlin,21,13593,Wilhelmstraße,,Point(13.18687834 52.52112402),cinema,52.52112402,13.18687834,Jerboa-Cinema,jerboa-cinema,,,,wikidata,"Wilhelmstraße 21, 13593 Berlin","Wilhelmstraße 21, 13593 Berlin",,Q47079663
Berlin,116,13595,Pichelsdorfer Straße,,Point(13.19753391 52.52520437),cinema,52.52520437,13.19753391,Regina,regina,,,,wikidata,"Pichelsdorfer Straße 116, 13595 Berlin","Pichelsdorfer Straße 116, 13595 Berlin",,Q47079665
Berlin,49,13595,Pichelsdorfer Straße,,Point(13.19746073 52.51789653),cinema,52.51789653,13.19746073,Tropfstein-Lichtspiele,tropfstein-lichtspiele,,,,wikidata,"Pichelsdorfer Straße 49, 13595 Berlin","Pichelsdorfer Straße 49, 13595 Berlin",,Q47079669
Berlin,29a,10623,Hardenbergstraße,,Point(13.3342 52.5061),cinema,52.5061,13.3342,Zoo Palast,zoo-palast,,,,wikidata,"Hardenbergstraße 29a, 10623 Berlin","Hardenbergstraße 29a, 10623 Berlin",https://www.zoopalast-berlin.de/,Q220069
Berlin,153,10709,Kurfürstendamm,,Point(13.302222222 52.498611111),cinema,52.498611111,13.302222222,Schaubühne am Lehniner Platz,schaub-hne-am-lehniner-platz,,,,wikidata,"Kurfürstendamm 153, 10709 Berlin","Kurfürstendamm 153, 10709 Berlin",,Q569461
Berlin,100,10623,Knesebeckstraße,,Point(13.3234 52.5104),cinema,52.5104,13.3234,Renaissance-Theater,renaissance-theater,,,,wikidata,"Knesebeckstraße 100, 10623 Berlin","Knesebeckstraße 100, 10623 Berlin",,Q876556
Berlin,12A,10623,Kantstraße,,Point(13.32848 52.50595),cinema,52.50595,13.32848,Delphi Filmpalast,delphi-filmpalast,Yorck Kinogruppe,,,wikidata,"Kantstraße 12A, 10623 Berlin","Kantstraße 12A, 10623 Berlin",https://www.yorck.de/kinos/delphi-filmpalast,Q1184623
Berlin,29a-e,10623,Hardenbergstraße,,Point(13.3342 52.5061),cinema,52.5061,13.3342,Ufa-Palast am Zoo,ufa-palast-am-zoo,,,,wikidata,"Hardenbergstraße 29a-e, 10623 Berlin","Hardenbergstraße 29a-e, 10623 Berlin",,Q1285122
Berlin,26,10719,Kurfürstendamm,,Point(13.3287 52.5036),cinema,52.5036,13.3287,Filmbühne Wien,filmb-hne-wien,,,,wikidata,"Kurfürstendamm 26, 10719 Berlin","Kurfürstendamm 26, 10719 Berlin",,Q1414402
,,10719,,,Point(13.333282 52.504572),cinema,52.504572,13.333282,Gloria-Palast,gloria-palast,,,,wikidata,,,,Q1532031
,,,,,Point(13.3286 52.4986),cinema,52.4986,13.3286,Haus der Berliner Festspiele,haus-der-berliner-festspiele,,,,wikidata,,,http://www.berlinerfestspiele.de,Q1590736
Berlin,68,10707,Kurfürstendamm,,Point(13.3084 52.5005),cinema,52.5005,13.3084,Alhambra,alhambra,,,,wikidata,"Kurfürstendamm 68, 10707 Berlin","Kurfürstendamm 68, 10707 Berlin",,Q1637463
Berlin,,10789,Europa Center,,Point(13.3382 52.5041),cinema,52.5041,13.3382,Royal Palast,royal-palast,,,,wikidata,"Europa Center, Tauentzienstraße 9, 10789 Berlin","Europa Center, Tauentzienstraße 9, 10789 Berlin",,Q1687214
