id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13074430542,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.4999609,13.5313817
13074430543,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.4999654,13.5313502
13076121342,bube mit zickel,statue,walter lerche,,1101,11011011,,artificial stone,1956,,,,52.4995757,13.5286922
13076121343,karl foerster,bust,senta baldamus,,1101,11011011,,bronze,1961,,,,52.5055796,13.526531
13076121344,carl von linné,bust,senta baldamus,,1101,11011011,,bronze,1994,,Q111630171,,52.5049664,13.5245138
13076121345,urania,statue,carl philipp glume,,1101,11011011,,sandstone,1989,,,,52.5063829,13.5229979
13076121346,vase mit blüten- und blattschmuck,sculpture,unknown,,1101,11011011,,sandstone,1987..1990,,,,52.5049454,13.5235158
13076121347,vase mit blüten- und blattschmuck,sculpture,unknown,,1101,11011011,,sandstone,1987..1990,,,,52.5049204,13.5233877
13076121348,vase mit blüten- und blattschmuck,sculpture,unknown,,1101,11011011,,sandstone,1987..1990,,,,52.5060669,13.5228991
13076121349,vase mit blüten- und blattschmuck,sculpture,unknown,,1101,11011011,,sandstone,1987..1990,,,,52.5060398,13.522771
13076121350,putte-der choleriker,statue,gottfried knöffler,,1101,11011011,,sandstone,1987,,,,52.5056647,13.5229798
13076121351,putte-der sanguiniker,statue,gottfried knöffler,,1101,11011011,,sandstone,1987,,,,52.5056913,13.5231079
13076121352,putte-der melancholiker,statue,gottfried knöffler,,1101,11011011,,sandstone,1987,,,,52.5057491,13.5230713
13076121353,putte-der phlegmatiker,statue,gottfried knöffler,,1101,11011011,,sandstone,1987,,,,52.5057228,13.5229459
13076121354,putte frühling-allegorie,statue,s. giebe,,1101,11011011,,sandstone,1988,,,,52.5053249,13.5233091
13076121355,putte sommer-allegorie,statue,stephan schötschel,,1101,11011011,,sandstone,1988,,,,52.5052975,13.5231826
13076121356,putte winter-allegorie,statue,burkhard bluhm,,1101,11011011,,sandstone,1988,,,,52.5052402,13.5232106
13076121357,putte herbst-allegorie,statue,henry sawade,,1101,11011011,,sandstone,1988,,,,52.5052666,13.5233399
