id,name,house_number,street,neighborhood_id,district_id,postal_code,website,opening_hours,wheelchair,fee,latitude,longitude
3801390186,galerie burster,,kurfürsten damm,0401,11004004,10719,https://www.galerieburster.com/,,,,52.5020607,13.3259855
3814667251,africa art gallery,28,knesebeck straße,0401,11004004,10623,,,yes,,52.5038664,13.3218562
3838219406,könig galerie,118,alexandrinen straße,0202,11002002,10969,,tu-sa 11:00-18:00,,False,52.5007422,13.4009105
3838230484,max hetzler,77-87,potsdamer straße,0104,11001001,10785,https://www.maxhetzler.com/,,,,52.5018909,13.365917
3861762661,re|space,71/72,mommsen straße,0401,11004004,10629,,tu-sa 10:00-18:00,,,52.5027037,13.3209826
3861765074,r+r galerie,,grolman straße,0401,11004004,10623,https://r-r-galerie.de/,"tu-fr 10:00-19:00, sa 10:00-16:00; mo,su,ph off",no,False,52.5035587,13.3245457
3874869057,galerie torstraße - popup shop,161,tor straße,0101,11001001,10115,https://www.gopopup.com/de/space/berlin/pop-up-space-torstrasse-161,,no,False,52.5292588,13.3962312
3943789009,galerie kajetan,58,grolman straße,0401,11004004,10623,https://www.kajetan.de,"mo-tu,su,ph off; we-sa 12:00-18:00",no,,52.5084239,13.3206186
4060728418,galerie wigand,10,thrasolt straße,0401,11004004,10585,http://www.galerie-wigand.com/,,,,52.5148769,13.305353
4061948104,made in wedding,,kolonie straße,0106,11001001,13359,http://made-in-wedding.de,,,,52.560054,13.379524
4061948105,toolbox gallery,,,0106,11001001,,,,,False,52.5601093,13.3795606
4167927508,atelier sam grigorian,,templiner straße,0301,11003003,10119,http://www.samgrigorian.de,,no,False,52.5330823,13.4092451
4187244802,rath factory,,,0101,11001001,,,,,,52.5152477,13.4091883
4193664825,the kennedys,,,0101,11001001,,https://www.thekennedys.de/,,no,,52.5264157,13.3944625
4215688690,fotogalerie friedrichshain,1,,0201,11002002,10243,https://fotogalerie.berlin/,tu-sa 14:00-18:00; th 10:00-20:00,yes,False,52.5084047,13.4484701
4219262248,sammlung boros,,reinhardt straße,0101,11001001,10117,https://www.sammlung-boros.de/,fr-su 10:30-19:30,limited,True,52.523509,13.38404
4261575761,linien83a atelier patricia dreyfus,83A,linien straße,0101,11001001,10119,,,no,,52.5289959,13.3994517
4261575763,hvw8,161,linien straße,0101,11001001,10115,,,no,,52.5280088,13.3952512
4261575765,jarvis dooney,116,linien straße,0101,11001001,10115,http://www.jarvisdooney.com/,,,,52.5273012,13.391896
4261575768,kuckei + kuckei,158,linien straße,0101,11001001,10115,https://www.kuckei-kuckei.de/,,,,52.5277836,13.3944783
4261575770,martin mertens,148,linien straße,0101,11001001,10115,https://martinmertens.com/,,no,,52.5271057,13.3920137
4261575778,rasche ripken,148,linien straße,0101,11001001,10115,https://www.rasche-ripken.de/,,no,,52.5270755,13.3918812
4266723799,jordan seydoux,22,august straße,0101,11001001,10117,https://www.jordan-seydoux.com/,tu-sa 12:00-18:00,no,False,52.526834,13.3964194
4278104787,von hirscheydt,,wieland straße,0401,11004004,10629,,,,False,52.5020654,13.3154057
4306025961,savvy contemporary,17,reinickendorfer straße,0106,11001001,13347,,th-su 14:00-19:00,yes,False,52.5447307,13.3707092
4320989889,architektur galerie berlin xxv,96,karl marx allee,0201,11002002,10243,,,,False,52.5167018,13.4420426
4412304403,urban art kids,7,sesenheimer straße,0401,11004004,10627,,"tu-fr 16:00-18:00; sa 11:00-14:00; su,mo off",,False,52.5096614,13.3077018
4454024998,galerie m + r fricke,66,beussel straße,0102,11001001,10553,,tu-fr 11:00-18:00; sa 12:00-17:00,no,False,52.5290451,13.3283478
4479183428,galerie born,58,potsdamer straße,0104,11001001,10785,,tu-sa 11:00-18:00,limited,,52.5053398,13.36739
4479183429,house of egorn,,,0104,11001001,,http://www.houseofegorn.com/,,,,52.5056254,13.367117
4479183430,verein berliner künstler,,schöneberger ufer,0104,11001001,10785,https://www.vbk-art.de/,"tu-fr 15:00-19:00; sa,su 14:00-18:00",,False,52.5056639,13.3662054
4512601381,schau fenster,30-35,lobeck straße,0202,11002002,10969,https://dasarty.com/schaufenster/,,,False,52.5031351,13.4071279
4613845298,daad galerie,161,oranien straße,0202,11002002,10969,http://www.daadgalerie.de/,,,,52.5026724,13.413786
4742541421,moeon,,schönlein straße,0202,11002002,10967,,,no,False,52.4915153,13.4199898
4742923387,imago,,stadtterrasse,0202,11002002,10969,https://www.imagocamera.com/,mo-sa 11:00-19:00,yes,False,52.5029246,13.4099077
4757755548,dittrich & schlechtriem,23,linien straße,0101,11001001,10178,,we-sa 11:00-18:00,yes,False,52.5276077,13.4123477
4831523443,wolf & galentz,,wollank straße,0307,11003003,13187,https://wolf-galentz.de/,"mo 17:30-21:30; su 14:30-17:30 || ""nach vereinbarung""",no,False,52.5662932,13.3967165
4834609476,galerie amalienpark,23,breite straße,0307,11003003,13187,,tu-fr 14:00-19:00; sa 12:00-17:00,limited,False,52.5694131,13.402228
4846091222,bäckerei moabit,,gotzkowsky straße,0102,11001001,10555,https://www.baeckerei-moabit.de/,fr-sa 13:00-18:00,limited,False,52.5262483,13.3305783
4871854508,galerie dikmayer,19,gertrauden straße,0101,11001001,10178,,,,,52.5132156,13.4056912
4897648138,aagaard-galerie,11,alt hermsdorf,1206,11012012,13467,,,,,52.613956,13.3212568
4954306161,inselgalerie,,petersburger straße,0201,11002002,10249,https://www.inselgalerie-berlin.de/,tu-fr 14:00-19:00; sa 13:00-17:00,yes,False,52.5188379,13.4522163
4998192398,pandora,6,mittenwalder straße,0202,11002002,10961,,"tu-th 14:00-18:00; fr 14:00-20:00; sa 14:00-22:00; su,mo off",no,False,52.4939207,13.3970004
5060290948,atelier lächeln des lichts,,manitius straße,0801,11008008,12047,,,,,52.4916083,13.4317629
5131101040,galerie kai dikhas,,,0202,11002002,,https://www.kaidikhas.com/,th-sa 16:00-19:00,yes,False,52.5038331,13.4096091
5135781062,omo artspace,,hertzberg straße,0801,11008008,12055,,,,,52.4771794,13.4480557
5157095868,hilleckes gallery,,,0401,11004004,,https://www.lesterberlin.de/,,,False,52.5019264,13.3154058
5265842119,galerie theis,,schustehrus straße,0401,11004004,10585,,mo 17:00-18:00; tu-sa 14:00-18:00,,False,52.5171797,13.3037675
5351286166,blue avantgarde,,seelower straße,0301,11003003,10439,,,,False,52.5527979,13.4106201
5408750503,sprüth magers,18,oranienburger straße,0101,11001001,10178,https://www.spruethmagers.com/,tu-sa 10:00-18:00,,,52.5242252,13.3970643
5408778943,chert lüdde,97,potsdamer straße,0104,11001001,10785,https://chertluedde.com/,,,,52.5010504,13.3642087
5423271621,salon berlin,,,0101,11001001,10117,https://www.museum-frieder-burda.de/de/salon-berlin,,no,,52.526314,13.3943365
5472678621,sammlung hoffmann,21,sophien straße,0101,11001001,10178,https://sammlung-hoffmann.de/,,,,52.5262162,13.4011627
5569263936,galerie seelenkuss,135,wollank straße,0307,11003003,13187,,,,,52.5690087,13.4011116
5590039797,photocircle,1,monumenten straße,0701,11007007,10829,,mo-fr 11:00-18:00; sa 11:00-14:00,limited,False,52.4881698,13.364219
5612023975,grüntaler9,9,grüntaler straße,0106,11001001,,http://www.gruentaler9.com,,,,52.5519354,13.3867337
5618342956,galerie futura,3,am flut graben,0901,11009009,12435,,,no,,52.497163,13.4516001
5763720229,bauhaus-shop,1-2,knesebeck straße,0401,11004004,10623,https://www.bauhaus-shop.de/,mo-sa 10:00-18:00,limited,False,52.5107327,13.3228522
5839747834,hošek contemporary,,,0101,11001001,,https://www.hosekcontemporary.com/,,,,52.5136681,13.41187
5871420799,monsterkabinett,39,rosenthaler straße,0101,11001001,10178,,"we,th 18:30-21:30; fr-sa16:30-21:30",no,,52.5244794,13.4018335
5902860167,galerie weisser elefant,21,august straße,0101,11001001,10117,https://www.galerieweisserelefant.de/,tu-fr 11:00-19:00; sa-su 13:00-19:00,,,52.5267987,13.3961905
5942823502,leslie,20,bergfried straße,0202,11002002,10969,,we 10:00-14:00; th 10:00-15:00; fr 10:00-14:00; sa 13:00-17:00,,,52.4997753,13.410355
6007509221,kewenig galerie,10,brüder straße,0101,11001001,10178,https://kewenig.com,tu-sa 11:00-18:00,,,52.5144541,13.4024723
6013588180,gedok berlin,57,suarez straße,0401,11004004,14057,https://gedokberlin.de/,we-su 14:00-18:00,,,52.5092516,13.2967574
6017813746,galerie 100,99,konrad wolf straße,1110,11011011,13055,,tu-fr 10:00-18:00; su 14:00-18:00; ph off,yes,False,52.5418281,13.4884906
6096673705,gh36,36,große hamburger straße,0101,11001001,10115,,,no,,52.5261448,13.398692
