technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_0011dfb8,00008100:0011dfb8,40121,5,Spandau,Spandau,Spielplatz,Parkstraße (KS),Unknown,,2012.0,2099.0,gewidmet,5100313.0,Eiswerder,600.0,"Parkstraße (KS),Eiswerder, Berlin, Germany",52.5503935,13.2131196,POINT (1470877.7456626226 6900262.0797169665),,
00008100_0011df9c,00008100:0011df9c,41630,5,Spandau,Staaken,Spielplatz,Spandauer Straße (KS),Unknown,,2019.0,4170.0,gewidmet,5200421.0,Spandauer Straße,4170.0,"Spandauer Straße (KS),Spandauer Straße, Berlin, Germany",52.5354899,13.1520909,POINT (1464084.061854847 6897534.108435785),,
00008100_0011df08,00008100:0011df08,60147,5,Spandau,Gatow,Spielplatz,Havelblick (KS),Gustav-Haestskau-Str.,,,380.0,gewidmet,5400942.0,Alt-Gatow,380.0,"Havelblick (KS),Alt-Gatow, Berlin, Germany",52.4921165,13.1784454,POINT (1467017.8313749584 6889600.2584933685),,
00008100_0011df3b,00008100:0011df3b,60079,5,Spandau,Hakenfelde,Spielplatz,Boca-Raton-Straße (KS),Wasserstadt-Maselakekanal,2001.0,2020.0,1345.0,gewidmet,5100103.0,Mertensstraße,1345.0,"Boca-Raton-Straße (KS),Mertensstraße, Berlin, Germany",52.5612665,13.2209166,POINT (1471745.7037323378 6902252.870104923),,43.87449977744938
00008100_002ae6b3,00008100:002ae6b3,60130,5,Spandau,Kladow,Spielplatz,George-Caylay-Str (KS),Unknown,,,273.0,Unknown,5400943.0,Jägerallee,273.0,"George-Caylay-Str (KS),Jägerallee, Berlin, Germany",52.4746241,13.1291603,POINT (1461531.439139263 6886402.767962265),,19.729010533059295
00008100_0011def4,00008100:0011def4,60401,5,Spandau,Kladow,Spielplatz,Saint-Exupery-Straße (KS)-Landstadt Gatow,an der Kita Süd,2004.0,,303.0,gewidmet,5400943.0,Jägerallee,300.0,"Saint-Exupery-Straße (KS)-Landstadt Gatow,Jägerallee, Berlin, Germany",52.4709366,13.1297532,POINT (1461597.4404653541 6885728.880523043),,
00008100_0011df92,00008100:0011df92,41650,5,Spandau,Falkenhagener Feld,Spielplatz,Im Spektefeld (KS),"Bereich Sportanlage ""im Spektefeld""",,,1596.0,gewidmet,5100208.0,Im Spektefeld,1596.0,"Im Spektefeld (KS),Im Spektefeld, Berlin, Germany",52.5490768,13.1558919,POINT (1464507.1872393524 6900021.032202149),,
00008100_0011df88,00008100:0011df88,41660,5,Spandau,Wilhelmstadt,Spielplatz,Schmidt-Knobelsdorf-Straße (KS),Seeburger Str.,1982.0,2011.0,4490.0,gewidmet,5200630.0,Wilhelmstadt West,4460.0,"Schmidt-Knobelsdorf-Straße (KS),Wilhelmstadt West, Berlin, Germany",52.5252171,13.177873,POINT (1466954.1120984284 6895654.302902687),,
00008100_0011dfa9,00008100:0011dfa9,40020,5,Spandau,Wilhelmstadt,Spielplatz,Reclamweg (BS),Unknown,,,495.0,gewidmet,5200527.0,Maulbeerallee,495.0,"Reclamweg (BS),Maulbeerallee, Berlin, Germany",52.520131,13.1753559,POINT (1466673.9098081526 6894723.767178039),,
00008100_0011de9e,00008100:0011de9e,61681,5,Spandau,Haselhorst,Spielplatz,Gorgasring (KS),Unknown,,2016.0,1612.0,gewidmet,5300737.0,Gartenfelder Straße,1043.0,"Gorgasring (KS),Gartenfelder Straße, Berlin, Germany",52.5402204,13.2392591,POINT (1473787.5814922133 6898399.884012255),,
