id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
10967709465,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5900256 52.5375286),52.5375286,13.5900256,24/7,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
10984015190,Independent Retailer,,parcel_locker,MyLocker24,,,,,,,,,,,,,,cabinet,,yes,,,,POINT (13.3555427 52.5972767),52.5972767,13.3555427,,,,,OpenStreetMap,Independent Locker,Reinickendorf,1210,Märkisches Viertel
10984015191,DHL,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.3557038 52.5973714),52.5973714,13.3557038,,,,,OpenStreetMap,DHL,Reinickendorf,1210,Märkisches Viertel
10992647875,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3718207 52.597188),52.597188,13.3718207,24/7,,,,OpenStreetMap,Amazon,Pankow,0312,Rosenthal
10995745783,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.2969517 52.4785688),52.4785688,13.2969517,,,,,OpenStreetMap,Amazon,Charlottenburg-Wilmersdorf,0403,Schmargendorf
10995745784,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.2668768 52.4822628),52.4822628,13.2668768,,,,,OpenStreetMap,Amazon,Charlottenburg-Wilmersdorf,0404,Grunewald
11006215367,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3890223 52.5653263),52.5653263,13.3890223,,,,,OpenStreetMap,Amazon,Mitte,0106,Gesundbrunnen
11007129058,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3882998 52.5645016),52.5645016,13.3882998,,,,,OpenStreetMap,Amazon,Mitte,0106,Gesundbrunnen
11008692158,DHL,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,,,,,POINT (13.4921779 52.6287524),52.6287524,13.4921779,24/7,,,,OpenStreetMap,DHL,Pankow,0309,Buch
11011496501,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.3639606 52.4941142),52.4941142,13.3639606,,,,,OpenStreetMap,Unknown,Tempelhof-Schöneberg,0701,Schöneberg
11030242770,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3972146 52.5323062),52.5323062,13.3972146,Mo-Sa 07:00-22:55,,,,OpenStreetMap,DHL,Mitte,0101,Mitte
11034618496,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,limited,,,,,,,,cabinet,yes,yes,,,,POINT (13.4011796 52.5812508),52.5812508,13.4011796,,,,,OpenStreetMap,DHL,Pankow,0311,Niederschönhausen
11038792389,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,,yes,,,,POINT (13.3953528 52.5395667),52.5395667,13.3953528,,,,,OpenStreetMap,Amazon,Mitte,0106,Gesundbrunnen
11043512823,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.4546188 52.5140101),52.5140101,13.4546188,24/7,,,,OpenStreetMap,DHL,Friedrichshain-Kreuzberg,0201,Friedrichshain
11045663313,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5603996 52.5729651),52.5729651,13.5603996,,,,,OpenStreetMap,DHL,Lichtenberg,1104,Falkenberg
11052267982,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.4382356 52.5135049),52.5135049,13.4382356,Mo-Su 06:00-22:00,,,,OpenStreetMap,DHL,Friedrichshain-Kreuzberg,0201,Friedrichshain
