id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12420720606,Gertrud Schlesinger,memorial,52.4851413,13.3521952,POINT (13.3521952 52.4851413),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/eisenacher-str/59/gertrud-schlesinger,
12420720607,Alfred Schlesinger,memorial,52.4851371,13.3522006,POINT (13.3522006 52.4851371),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/eisenacher-str/59/alfred-schlesinger,
12420879368,James Basch,memorial,52.4888557,13.3493666,POINT (13.3493666 52.4888557),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/eisenacher-str/80/james-basch,
12427689404,Berthold Lehmann,memorial,52.4925574,13.3566864,POINT (13.3566864 52.4925574),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/berthold-lehmann,
12427689405,Otto Rosanes,memorial,52.4925643,13.3566873,POINT (13.3566873 52.4925643),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/otto-rosanes,
12427689406,Max Spittel,memorial,52.4925718,13.3566877,POINT (13.3566877 52.4925718),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/max-spittel,
12427689407,Max Fabisch,memorial,52.4925792,13.3566886,POINT (13.3566886 52.4925792),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/max-fabisch,
12427689408,Friedrich Nothmann,memorial,52.492313,13.356668,POINT (13.356668 52.492313),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/friedrich-nothmann,
12427689409,Martin Toeplitz,memorial,52.49232,13.3566684,POINT (13.3566684 52.49232),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/martin-toeplitz,
12427689410,Jacob Felix Naumann,memorial,52.4923274,13.3566688,POINT (13.3566688 52.4923274),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/jacob-felix-naumann,
